DATE,INDEX,Turnover
10/07/2022,1871.62,337234.95
07/07/2022,1851.45,1633186.05
06/07/2022,1825.64,991111.38
05/07/2022,1829.03,784462.79
04/07/2022,1841.41,550505.29
03/07/2022,1853.33,433591.96
30/06/2022,1828.73,1359782.29
29/06/2022,1864.67,911516.61
28/06/2022,1865.73,1237721.29
27/06/2022,1844.28,1009270.14
26/06/2022,1853.45,499107.77
23/06/2022,1820.79,1550532.62
22/06/2022,1834.04,1383801.08
21/06/2022,1837.11,664690.61
20/06/2022,1808.85,579499.92
19/06/2022,1799.18,394281.72
16/06/2022,1775.89,1312035.34
15/06/2022,1822.44,834959.75
14/06/2022,1797.3,1081095.62
13/06/2022,1782.44,1335936.39
12/06/2022,1820.55,470950.44
09/06/2022,1886.88,1139860.87
08/06/2022,1907.57,725610.69
07/06/2022,1900.93,815818.33
06/06/2022,1918.85,774193.21
02/06/2022,1902.51,1590601.54
01/06/2022,1919.52,1059223.08
31/05/2022,1901.96,3160172.09
30/05/2022,1907.09,658007.43
29/05/2022,1922.27,445984.75
26/05/2022,1880.28,1577755.18
25/05/2022,1836.31,1014274.17
24/05/2022,1860.57,937791.37
23/05/2022,1903.06,1276977.67
22/05/2022,1889.34,408321.73
19/05/2022,1875.88,1422048.57
18/05/2022,1919.28,989785.05
17/05/2022,1927.55,978311.22
16/05/2022,1904.43,1154475.01
15/05/2022,1892.07,422243.63
12/05/2022,1874.25,1344237.23
11/05/2022,1895.23,1210667.49
10/05/2022,1874.22,1240998.89
09/05/2022,1857.27,2792566.85
08/05/2022,1881.19,804636.78
03/05/2022,1936.56,1408403.3
02/05/2022,1941.71,1325852.95
01/05/2022,1985.71,385045.64
28/04/2022,2016.87,1917233.97
27/04/2022,1994.03,819155.94
26/04/2022,2004.95,1027712.25
25/04/2022,2006.48,1215970.87
24/04/2022,2021.81,405720.07
20/04/2022,2055.66,676778.16
19/04/2022,2051.48,449770.61
18/04/2022,2046.88,228929.49
17/04/2022,2043.76,137414.98
14/04/2022,2039.69,893868.01
13/04/2022,2026.33,799639.11
12/04/2022,2023.75,897423.97
11/04/2022,2023.6,994411
10/04/2022,2033.77,369113.25
07/04/2022,2034.51,2183410.08
06/04/2022,2028.28,1200386.8
05/04/2022,2059.11,1209764.99
04/04/2022,2043.65,1042254.18
03/04/2022,2030.36,417508.48
31/03/2022,2021.28,1118532.73
30/03/2022,2042.44,1189772.76
29/03/2022,2036.25,1446005.82
28/03/2022,2030.08,1263910.01
27/03/2022,2035.17,552468.94
24/03/2022,2036.49,2022464.32
23/03/2022,2027.57,906220.89
22/03/2022,2022.65,1072916.25
21/03/2022,2005.91,1106122.51
20/03/2022,2007.23,595981.75
16/03/2022,1961.07,1956976.95
15/03/2022,1930,1167962.17
14/03/2022,1912.78,915764.71
13/03/2022,1901.26,450246.13
10/03/2022,1930.4,1471678.94
09/03/2022,1948.91,1754400.5
08/03/2022,1915.64,1674943.1
07/03/2022,1935.95,1376231.68
06/03/2022,1944.87,424400.65
03/03/2022,1943.51,1502750.66
02/03/2022,1958.29,944644.22
01/03/2022,1953.28,1326788.94
28/02/2022,1973.02,1307101.24
27/02/2022,1961.19,588543.81
24/02/2022,1927.41,2330457.28
23/02/2022,1985.17,973566.09
22/02/2022,1978.71,953744.97
21/02/2022,1972.89,724428.14
20/02/2022,1962.73,481165.2
17/02/2022,1979.84,1245430.53
16/02/2022,1991.63,920450.21
15/02/2022,1977.32,1416168.02
14/02/2022,1950.98,1038624.42
13/02/2022,1926.48,668970.66
10/02/2022,1986.66,886640.15
09/02/2022,1986.67,1121657.36
08/02/2022,1939.39,912895.57
07/02/2022,1932.12,925526.06
06/02/2022,1927.84,375547.64
03/02/2022,1930.53,2723193.45
02/02/2022,1935.85,1146413.31
01/02/2022,1915.79,1041908.9
31/01/2022,1917.18,1408490.13
30/01/2022,1918.66,480804.35
27/01/2022,1917.22,2540660.11
26/01/2022,1937.13,1149353.3
25/01/2022,1894.91,1298291.46
24/01/2022,1888.73,1381478.56
23/01/2022,1958.05,765393.54
20/01/2022,2019.39,1191194.58
19/01/2022,2015.01,1197500.7
18/01/2022,2028.18,1207233.13
17/01/2022,2055.11,745842.27
16/01/2022,2055.9,404397.19
13/01/2022,2071.1,1479008.65
12/01/2022,2055.55,1170810.66
11/01/2022,2022.16,956547.73
10/01/2022,1984.44,909845.04
09/01/2022,1988.65,416975.92
06/01/2022,2003.52,2082813.71
05/01/2022,2016.23,1021073.08
04/01/2022,2002.43,848656.8
03/01/2022,1994.41,1102266.58
02/01/2022,1987.86,402761.51
30/12/2021,1978.06,1524390.69
29/12/2021,1975.42,888005.49
28/12/2021,1986.37,1166755.15
27/12/2021,1964.82,685487.1
26/12/2021,1960.3,502297.59
23/12/2021,1949.34,985434.77
22/12/2021,1922.03,789084.55
